date,lake,funct,mgO2_day
2020-08-23,MCD,NEP2,-0.02598997916426548
2020-08-23,MCD,NEP3,-0.02598997916426548
2020-08-23,MCD,GPPsd,0.04050903142364419
2020-08-23,MCD,Rsd,0.04035966860614692
2020-08-23,MCD,NEPsd,0.05718290371150973
2020-08-24,MCD,GPP,0.12304301356911018
2020-08-24,MCD,R,0.06860859383595498
2020-08-24,MCD,NEP,0.19165160740506515
2020-08-24,MCD,GPP2,0.12304301356911018
2020-08-24,MCD,R2,-0.06860859383595498
2020-08-24,MCD,NEP2,0.19165160740506515
2020-08-24,MCD,NEP3,0.0544344197331552
2020-08-24,MCD,GPPsd,0.02975639371821342
2020-08-24,MCD,Rsd,0.02879363613986522
2020-08-24,MCD,NEPsd,0.04140671985642287
2020-08-25,MCD,GPP,0.11095586367912402
2020-08-25,MCD,R,-0.10417126254547246
2020-08-25,MCD,NEP,0.00678460113365156
2020-08-25,MCD,GPP2,0.11095586367912402
2020-08-25,MCD,R2,-0.10417126254547246
2020-08-25,MCD,NEP2,0.00678460113365156
2020-08-25,MCD,NEP3,0.00678460113365156
2020-08-25,MCD,GPPsd,0.01272878583801577
2020-08-25,MCD,Rsd,0.0127749552323134
2020-08-25,MCD,NEPsd,0.01803389780656646
2020-08-26,MCD,GPP,0.29268697525387655
2020-08-26,MCD,R,-0.1545053012095803
2020-08-26,MCD,NEP,0.13818167404429624
2020-08-26,MCD,GPP2,0.29268697525387655
2020-08-26,MCD,R2,-0.1545053012095803
2020-08-26,MCD,NEP2,0.13818167404429624
2020-08-26,MCD,NEP3,0.13818167404429624
2020-08-26,MCD,GPPsd,0.03265585267477692
2020-08-26,MCD,Rsd,0.03237913518747334
2020-08-26,MCD,NEPsd,0.04598709720568813
2020-08-27,MCD,GPP,-0.01535184457800062
2020-08-27,MCD,R,0.07974883235861749
2020-08-27,MCD,NEP,0.06439698778061687
2020-08-27,MCD,GPP2,0.01535184457800062
2020-08-27,MCD,R2,-0.07974883235861749
2020-08-27,MCD,NEP2,0.06439698778061687
2020-08-27,MCD,NEP3,-0.06439698778061687
2020-08-27,MCD,GPPsd,0.02503526924747708
2020-08-27,MCD,Rsd,0.02406489606715922
2020-08-27,MCD,NEPsd,0.03472583950053399
2020-08-28,MCD,GPP,-0.02775543137812869
2020-08-28,MCD,R,0.1018922089779052
2020-08-28,MCD,NEP,0.0741367775997765
2020-08-28,MCD,GPP2,0.02775543137812869
2020-08-28,MCD,R2,-0.1018922089779052
2020-08-28,MCD,NEP2,0.0741367775997765
2020-08-28,MCD,NEP3,-0.0741367775997765
2020-08-28,MCD,GPPsd,0.02033475375806684
2020-08-28,MCD,Rsd,0.01976044800975199
2020-08-28,MCD,NEPsd,0.0283544972790442
2020-08-29,MCD,GPP,0.27200575228557644
2020-08-29,MCD,R,-0.03580355168748224
2020-08-29,MCD,NEP,0.2362022005980942
2020-08-29,MCD,GPP2,0.27200575228557644
2020-08-29,MCD,R2,-0.03580355168748224
2020-08-29,MCD,NEP2,0.2362022005980942
2020-08-29,MCD,NEP3,0.2362022005980942
2020-08-29,MCD,GPPsd,0.02423409183793774
2020-08-29,MCD,Rsd,0.02406932063425988
2020-08-29,MCD,NEPsd,0.03415586923215993
2020-08-30,MCD,GPP,0.3130344545837998
2020-08-30,MCD,R,-0.2915980497452604
2020-08-30,MCD,NEP,0.02143640483853942
2020-08-30,MCD,GPP2,0.3130344545837998
2020-08-30,MCD,R2,-0.2915980497452604
2020-08-30,MCD,NEP2,0.02143640483853942
2020-08-30,MCD,NEP3,0.02143640483853942
2020-08-30,MCD,GPPsd,0.02073686522687584
2020-08-30,MCD,Rsd,0.02055035861710845
2020-08-30,MCD,NEPsd,0.02919477382562461
2020-08-31,MCD,GPP,0.0333873876363879
2020-08-31,MCD,R,0.01029754511481033
2020-08-31,MCD,NEP,0.04368493275119824
2020-08-31,MCD,GPP2,0.0333873876363879
2020-08-31,MCD,R2,-0.01029754511481033
2020-08-31,MCD,NEP2,0.04368493275119824
2020-08-31,MCD,NEP3,0.02308984252157757
2020-08-31,MCD,GPPsd,0.01208309988228382
2020-08-31,MCD,Rsd,0.01165548974149457
2020-08-31,MCD,NEPsd,0.01678844078166083
2020-09-01,MCD,GPP,0.36783688491651073
2020-09-01,MCD,R,-0.2803747974395946
2020-09-01,MCD,NEP,0.08746208747691614
2020-09-01,MCD,GPP2,0.36783688491651073
2020-09-01,MCD,R2,-0.2803747974395946
2020-09-01,MCD,NEP2,0.08746208747691614
2020-09-01,MCD,NEP3,0.08746208747691614
2020-09-01,MCD,GPPsd,0.02407108857542795
2020-09-01,MCD,Rsd,0.02402538627547736
2020-09-01,MCD,NEPsd,0.0340093588721104
2020-09-02,MCD,GPP,0.2688597756111868
2020-09-02,MCD,R,-0.1206712306799876
2020-09-02,MCD,NEP,0.14818854493119918
2020-09-02,MCD,GPP2,0.2688597756111868
2020-09-02,MCD,R2,-0.1206712306799876
2020-09-02,MCD,NEP2,0.14818854493119918
2020-09-02,MCD,NEP3,0.14818854493119918
2020-09-02,MCD,GPPsd,0.01794338587708254
2020-09-02,MCD,Rsd,0.01786340963437893
2020-09-02,MCD,NEPsd,0.02531929107418901
2020-09-03,MCD,GPP,0.03502998628162523
2020-09-03,MCD,R,-0.08332300729639774
2020-09-03,MCD,NEP,-0.04829302101477251
2020-09-03,MCD,GPP2,0.03502998628162523
2020-09-03,MCD,R2,-0.08332300729639774
2020-09-03,MCD,NEP2,-0.04829302101477251
2020-09-03,MCD,NEP3,-0.04829302101477251
2020-09-03,MCD,GPPsd,0.01807238511192782
2020-09-03,MCD,Rsd,0.01838191281740413
2020-09-03,MCD,NEPsd,0.02577801044418434
2020-09-04,MCD,GPP,0.13703768381008655
2020-09-04,MCD,R,-0.1676539072185887
2020-09-04,MCD,NEP,-0.03061622340850209
2020-09-04,MCD,GPP2,0.13703768381008655
2020-09-04,MCD,R2,-0.1676539072185887
2020-09-04,MCD,NEP2,-0.03061622340850209
2020-09-04,MCD,NEP3,-0.03061622340850209
2020-09-04,MCD,GPPsd,0.02254610587195342
2020-09-04,MCD,Rsd,0.02167347326379643
2020-09-04,MCD,NEPsd,0.03127405207685489
2020-09-05,MCD,GPP,0.06838523842348719
2020-09-05,MCD,R,-0.03829704759998068
2020-09-05,MCD,NEP,0.03008819082350651
2020-09-05,MCD,GPP2,0.06838523842348719
2020-09-05,MCD,R2,-0.03829704759998068
2020-09-05,MCD,NEP2,0.03008819082350651
2020-09-05,MCD,NEP3,0.03008819082350651
2020-09-05,MCD,GPPsd,0.020678117841544
2020-09-05,MCD,Rsd,0.02021369966470375
2020-09-05,MCD,NEPsd,0.02891674621397825
2020-09-06,MCD,GPP,-0.04230818297439956
2020-09-06,MCD,R,0.05742222251609232
2020-09-06,MCD,NEP,0.01511403954169275
2020-09-06,MCD,GPP2,0.04230818297439956
2020-09-06,MCD,R2,-0.05742222251609232
2020-09-06,MCD,NEP2,0.01511403954169275
2020-09-06,MCD,NEP3,-0.01511403954169275
2020-09-06,MCD,GPPsd,0.01834759794759001
2020-09-06,MCD,Rsd,0.01819717956241198
2020-09-06,MCD,NEPsd,0.02584127888617499
2020-09-07,MCD,GPP,-0.02550635473198659
2020-09-07,MCD,R,0.1889550119833776
2020-09-07,MCD,NEP,0.16344865725139102
2020-09-07,MCD,GPP2,0.02550635473198659
2020-09-07,MCD,R2,-0.1889550119833776
2020-09-07,MCD,NEP2,0.16344865725139102
2020-09-07,MCD,NEP3,-0.16344865725139102
2020-09-07,MCD,GPPsd,0.01929855836426848
2020-09-07,MCD,Rsd,0.01873269046311446
2020-09-07,MCD,NEPsd,0.0268951305430172
2020-09-08,MCD,GPP,-0.04225309345283646
2020-09-08,MCD,R,0.11128825610015622
2020-09-08,MCD,NEP,0.06903516264731976
2020-09-08,MCD,GPP2,0.04225309345283646
2020-09-08,MCD,R2,-0.11128825610015622
2020-09-08,MCD,NEP2,0.06903516264731976
2020-09-08,MCD,NEP3,-0.06903516264731976
2020-09-08,MCD,GPPsd,0.01320901457742328
2020-09-08,MCD,Rsd,0.01275542550571872
2020-09-08,MCD,NEPsd,0.0183624330070533
