date,lake,funct,model,mgO2_day
8/12/20,MCD,NEPsd,bayes,0.013137996
8/13/20,MCD,GPP,bayes,0.041679971
8/13/20,MCD,GPP,book,0.138665261
8/13/20,MCD,R,bayes,-0.012314713
8/13/20,MCD,R,book,-0.074798391
8/13/20,MCD,NEP,bayes,0.029365258
8/13/20,MCD,NEP,book,0.033975683
8/13/20,MCD,GPP2,bayes,0.041679971
8/13/20,MCD,GPP2,book,0.138665261
8/13/20,MCD,R2,bayes,-0.012314713
8/13/20,MCD,R2,book,-0.074798391
8/13/20,MCD,NEP2,bayes,0.029365258
8/13/20,MCD,NEP2,book,0.06386687
8/13/20,MCD,NEP3,bayes,0.029365258
8/13/20,MCD,NEP3,book,0.06386687
8/13/20,MCD,GPPsd,bayes,0.010852975
8/13/20,MCD,Rsd,bayes,0.01075278
8/13/20,MCD,NEPsd,bayes,0.01527774
8/14/20,MCD,GPP,bayes,-0.02999851
8/14/20,MCD,GPP,book,0.045063819
8/14/20,MCD,R,bayes,0.063330952
8/14/20,MCD,R,book,-0.003616986
8/14/20,MCD,NEP,bayes,0.033332443
8/14/20,MCD,NEP,book,0.040269642
8/14/20,MCD,GPP2,bayes,0.02999851
8/14/20,MCD,GPP2,book,0.045063819
8/14/20,MCD,R2,bayes,-0.063330952
8/14/20,MCD,R2,book,-0.003616986
8/14/20,MCD,NEP2,bayes,0.033332443
8/14/20,MCD,NEP2,book,0.041446833
8/14/20,MCD,NEP3,bayes,-0.033332443
8/14/20,MCD,NEP3,book,0.041446833
8/14/20,MCD,GPPsd,bayes,0.010704998
8/14/20,MCD,Rsd,bayes,0.01046208
8/14/20,MCD,NEPsd,bayes,0.01496837
8/15/20,MCD,GPP,bayes,0.033606819
8/15/20,MCD,GPP,book,0.091676535
8/15/20,MCD,R,bayes,-0.014141885
8/15/20,MCD,R,book,-0.051930153
8/15/20,MCD,NEP,bayes,0.019464934
8/15/20,MCD,NEP,book,0.018961749
8/15/20,MCD,GPP2,bayes,0.033606819
8/15/20,MCD,GPP2,book,0.091676535
8/15/20,MCD,R2,bayes,-0.014141885
8/15/20,MCD,R2,book,-0.051930153
8/15/20,MCD,NEP2,bayes,0.019464934
8/15/20,MCD,NEP2,book,0.039746382
8/15/20,MCD,NEP3,bayes,0.019464934
8/15/20,MCD,NEP3,book,0.039746382
8/15/20,MCD,GPPsd,bayes,0.012462382
8/15/20,MCD,Rsd,bayes,0.012163958
8/15/20,MCD,NEPsd,bayes,0.017414731
8/16/20,MCD,GPP,bayes,0.04288174
8/16/20,MCD,GPP,book,0.128808384
8/16/20,MCD,R,bayes,-0.041681071
8/16/20,MCD,R,book,-0.090770775
8/16/20,MCD,NEP,bayes,0.00120067
8/16/20,MCD,NEP,book,0.001487487
8/16/20,MCD,GPP2,bayes,0.04288174
8/16/20,MCD,GPP2,book,0.128808384
