datetime,lake,depth,temp
2020-06-25T16:00:00Z,UPH,0,12.11
2020-06-25T16:00:00Z,UPH,2,7.882
2020-06-25T16:00:00Z,UPH,4,5.45
2020-06-25T16:00:00Z,UPH,8,3.893
2020-06-25T16:00:00Z,UPH,1,9.573
2020-06-25T16:30:00Z,UPH,0,11.819
2020-06-25T16:30:00Z,UPH,2,8.581
2020-06-25T16:30:00Z,UPH,4,5.347
2020-06-25T16:30:00Z,UPH,8,3.998
2020-06-25T16:30:00Z,UPH,1,9.499
2020-06-25T17:00:00Z,UPH,0,11.139
2020-06-25T17:00:00Z,UPH,2,9.077
2020-06-25T17:00:00Z,UPH,4,5.347
2020-06-25T17:00:00Z,UPH,8,3.998
2020-06-25T17:00:00Z,UPH,1,9.812
2020-06-25T17:30:00Z,UPH,0,11.916
2020-06-25T17:30:00Z,UPH,2,8.481
2020-06-25T17:30:00Z,UPH,4,5.45
2020-06-25T17:30:00Z,UPH,8,3.998
2020-06-25T17:30:00Z,UPH,1,9.867
2020-06-25T18:00:00Z,UPH,0,11.819
2020-06-25T18:00:00Z,UPH,2,9.077
2020-06-25T18:00:00Z,UPH,4,5.552
2020-06-25T18:00:00Z,UPH,8,3.893
2020-06-25T18:00:00Z,UPH,1,9.839
2020-06-25T18:30:00Z,UPH,0,11.722
2020-06-25T18:30:00Z,UPH,2,8.082
2020-06-25T18:30:00Z,UPH,4,5.86
2020-06-25T18:30:00Z,UPH,8,4.207
2020-06-25T18:30:00Z,UPH,1,9.849
2020-06-25T19:00:00Z,UPH,0,11.431
2020-06-25T19:00:00Z,UPH,2,8.282
2020-06-25T19:00:00Z,UPH,4,5.552
2020-06-25T19:00:00Z,UPH,8,4.207
2020-06-25T19:00:00Z,UPH,1,9.849
2020-06-25T19:30:00Z,UPH,0,11.431
2020-06-25T19:30:00Z,UPH,2,7.782
2020-06-25T19:30:00Z,UPH,4,5.655
2020-06-25T19:30:00Z,UPH,8,3.998
2020-06-25T19:30:00Z,UPH,1,9.748
2020-06-25T20:00:00Z,UPH,0,10.553
2020-06-25T20:00:00Z,UPH,2,6.978
2020-06-25T20:00:00Z,UPH,4,5.655
2020-06-25T20:00:00Z,UPH,8,3.998
2020-06-25T20:00:00Z,UPH,1,9.748
2020-06-25T20:30:00Z,UPH,0,11.916
2020-06-25T20:30:00Z,UPH,2,6.877
2020-06-25T20:30:00Z,UPH,4,5.757
2020-06-25T20:30:00Z,UPH,8,4.207
2020-06-25T20:30:00Z,UPH,1,9.379
2020-06-25T21:00:00Z,UPH,0,12.013
2020-06-25T21:00:00Z,UPH,2,6.775
2020-06-25T21:00:00Z,UPH,4,5.757
2020-06-25T21:00:00Z,UPH,8,4.207
2020-06-25T21:00:00Z,UPH,1,9.268
2020-06-25T21:30:00Z,UPH,0,10.944
2020-06-25T21:30:00Z,UPH,2,6.775
2020-06-25T21:30:00Z,UPH,4,5.552
2020-06-25T21:30:00Z,UPH,8,3.893
2020-06-25T21:30:00Z,UPH,1,9.324
2020-06-25T22:00:00Z,UPH,0,10.553
2020-06-25T22:00:00Z,UPH,2,6.573
2020-06-25T22:00:00Z,UPH,4,5.757
2020-06-25T22:00:00Z,UPH,8,3.893
2020-06-25T22:00:00Z,UPH,1,9.083
2020-06-25T22:30:00Z,UPH,0,10.455
2020-06-25T22:30:00Z,UPH,2,6.877
2020-06-25T22:30:00Z,UPH,4,5.757
2020-06-25T22:30:00Z,UPH,8,3.893
2020-06-25T22:30:00Z,UPH,1,8.888
2020-06-25T23:00:00Z,UPH,0,10.161
2020-06-25T23:00:00Z,UPH,2,6.877
2020-06-25T23:00:00Z,UPH,4,5.757
2020-06-25T23:00:00Z,UPH,8,4.102
2020-06-25T23:00:00Z,UPH,1,8.58
2020-06-25T23:30:00Z,UPH,0,10.063
2020-06-25T23:30:00Z,UPH,2,7.079
2020-06-25T23:30:00Z,UPH,4,5.86
2020-06-25T23:30:00Z,UPH,8,4.102
2020-06-25T23:30:00Z,UPH,1,8.139
2020-06-26T00:00:00Z,UPH,0,9.768
2020-06-26T00:00:00Z,UPH,2,6.877
2020-06-26T00:00:00Z,UPH,4,5.757
2020-06-26T00:00:00Z,UPH,8,3.998
2020-06-26T00:00:00Z,UPH,1,8.157
2020-06-26T00:30:00Z,UPH,0,9.669
2020-06-26T00:30:00Z,UPH,2,6.775
2020-06-26T00:30:00Z,UPH,4,5.655
2020-06-26T00:30:00Z,UPH,8,4.102
2020-06-26T00:30:00Z,UPH,1,7.931
2020-06-26T01:00:00Z,UPH,0,9.571
2020-06-26T01:00:00Z,UPH,2,6.877
2020-06-26T01:00:00Z,UPH,4,5.45
2020-06-26T01:00:00Z,UPH,8,4.102
2020-06-26T01:00:00Z,UPH,1,8.683
2020-06-26T01:30:00Z,UPH,0,9.472
2020-06-26T01:30:00Z,UPH,2,6.674
2020-06-26T01:30:00Z,UPH,4,5.45
2020-06-26T01:30:00Z,UPH,8,4.102
2020-06-26T01:30:00Z,UPH,1,8.129
2020-06-26T02:00:00Z,UPH,0,9.472
2020-06-26T02:00:00Z,UPH,2,6.674
2020-06-26T02:00:00Z,UPH,4,5.552
2020-06-26T02:00:00Z,UPH,8,4.102
2020-06-26T02:00:00Z,UPH,1,8.167
2020-06-26T02:30:00Z,UPH,0,9.373
2020-06-26T02:30:00Z,UPH,2,6.674
2020-06-26T02:30:00Z,UPH,4,5.552
2020-06-26T02:30:00Z,UPH,8,3.788
2020-06-26T02:30:00Z,UPH,1,8.176
2020-06-26T03:00:00Z,UPH,0,9.275
2020-06-26T03:00:00Z,UPH,2,6.674
2020-06-26T03:00:00Z,UPH,4,5.552
2020-06-26T03:00:00Z,UPH,8,3.893
2020-06-26T03:00:00Z,UPH,1,7.95
2020-06-26T03:30:00Z,UPH,0,9.077
2020-06-26T03:30:00Z,UPH,2,6.877
2020-06-26T03:30:00Z,UPH,4,5.655
2020-06-26T03:30:00Z,UPH,8,3.893
2020-06-26T03:30:00Z,UPH,1,8.073
2020-06-26T04:00:00Z,UPH,0,9.275
2020-06-26T04:00:00Z,UPH,2,6.674
2020-06-26T04:00:00Z,UPH,4,5.552
2020-06-26T04:00:00Z,UPH,8,3.893
2020-06-26T04:00:00Z,UPH,1,7.912
2020-06-26T04:30:00Z,UPH,0,9.275
2020-06-26T04:30:00Z,UPH,2,6.674
2020-06-26T04:30:00Z,UPH,4,5.655
2020-06-26T04:30:00Z,UPH,8,3.788
2020-06-26T04:30:00Z,UPH,1,7.94
2020-06-26T05:00:00Z,UPH,0,9.275
2020-06-26T05:00:00Z,UPH,2,7.079
2020-06-26T05:00:00Z,UPH,4,5.45
2020-06-26T05:00:00Z,UPH,8,3.788
2020-06-26T05:00:00Z,UPH,1,7.969
2020-06-26T05:30:00Z,UPH,0,9.275
2020-06-26T05:30:00Z,UPH,2,6.775
2020-06-26T05:30:00Z,UPH,4,5.347
2020-06-26T05:30:00Z,UPH,8,3.683
2020-06-26T05:30:00Z,UPH,1,8.073
2020-06-26T06:00:00Z,UPH,0,9.077
2020-06-26T06:00:00Z,UPH,2,6.877
2020-06-26T06:00:00Z,UPH,4,5.347
2020-06-26T06:00:00Z,UPH,8,3.683
