time,latitude,longitude,vgrd10m,ugrd10m
2020-06-14T00:00:00Z,48,246.5,-0.651792,3.477849
2020-06-14T03:00:00Z,47,246.5,0.3659497,4.7903585
2020-06-14T03:00:00Z,47.5,246.5,1.8659496,3.0603588
2020-06-14T03:00:00Z,48,246.5,2.1059496,2.380359
2020-06-14T06:00:00Z,47,246.5,0.4583374,1.4765942
2020-06-14T06:00:00Z,47.5,246.5,0.3883374,2.1765943
2020-06-14T06:00:00Z,48,246.5,1.1883373,2.346594
2020-06-14T09:00:00Z,47,246.5,1.0186034,0.30589843
2020-06-14T09:00:00Z,47.5,246.5,0.5186035,1.5358984
2020-06-14T09:00:00Z,48,246.5,1.0786035,1.8058984
2020-06-14T12:00:00Z,47,246.5,-0.26463866,0.6559985
2020-06-14T12:00:00Z,47.5,246.5,-0.05463867,1.2859985
2020-06-14T12:00:00Z,48,246.5,1.2353613,1.1359985
2020-06-14T15:00:00Z,47,246.5,0.80298585,2.7983642
2020-06-14T15:00:00Z,47.5,246.5,0.62298584,2.7683642
2020-06-14T15:00:00Z,48,246.5,0.7629858,2.6583643
2020-06-14T18:00:00Z,47,246.5,1.5267187,5.1896653
2020-06-14T18:00:00Z,47.5,246.5,0.5467187,3.2596655
2020-06-14T18:00:00Z,48,246.5,1.2567188,4.1396656
2020-06-14T21:00:00Z,47,246.5,1.9647778,6.1866236
2020-06-14T21:00:00Z,47.5,246.5,0.51477784,3.1566234
2020-06-14T21:00:00Z,48,246.5,1.7347778,5.7366233
2020-06-15T00:00:00Z,47,246.5,1.5269189,5.6778173
2020-06-15T00:00:00Z,47.5,246.5,0.60691893,2.3678174
2020-06-15T00:00:00Z,48,246.5,2.416919,4.7878175
2020-06-15T03:00:00Z,47,246.5,1.3668481,3.358474
2020-06-15T03:00:00Z,47.5,246.5,1.0568482,2.118474
2020-06-15T03:00:00Z,48,246.5,2.7168481,3.098474
2020-06-15T06:00:00Z,47,246.5,1.155498,0.91792476
2020-06-15T06:00:00Z,47.5,246.5,1.825498,1.6179248
2020-06-15T06:00:00Z,48,246.5,1.695498,1.4379247
2020-06-15T09:00:00Z,47,246.5,1.1085839,0.6866919
2020-06-15T09:00:00Z,47.5,246.5,1.778584,1.9166919
2020-06-15T09:00:00Z,48,246.5,1.408584,1.2766919
2020-06-15T12:00:00Z,47,246.5,0.9345898,0.44935545
2020-06-15T12:00:00Z,47.5,246.5,2.1045897,0.99935544
2020-06-15T12:00:00Z,48,246.5,0.8745898,1.1593554
2020-06-15T15:00:00Z,47,246.5,0.84358394,-0.4453418
2020-06-15T15:00:00Z,47.5,246.5,2.403584,1.6746582
2020-06-15T15:00:00Z,48,246.5,1.3535839,3.3146582
2020-06-15T18:00:00Z,47,246.5,2.0168238,1.4583081
2020-06-15T18:00:00Z,47.5,246.5,1.5568237,3.0483081
2020-06-15T18:00:00Z,48,246.5,1.4768237,5.398308
2020-06-15T21:00:00Z,47,246.5,1.7528882,3.8356469
2020-06-15T21:00:00Z,47.5,246.5,1.8028882,3.8556468
2020-06-15T21:00:00Z,48,246.5,1.0928881,5.125647
2020-06-16T00:00:00Z,47,246.5,-0.49029297,3.120271
2020-06-16T00:00:00Z,47.5,246.5,-0.29029295,2.110271
2020-06-16T00:00:00Z,48,246.5,0.809707,2.620271
