datetime,lake,funct,mgO2_day
2020-07-18,HOL,GPP,0.13990980133128905
2020-07-18,HOL,R,0.042041934628428486
2020-07-18,HOL,NEP,0.19851210195019303
2020-07-18,HOL,GPP2,0.13990980133128905
2020-07-18,HOL,R2,-0.042041934628428486
2020-07-18,HOL,NEP2,0.09786786670286057
2020-07-19,HOL,GPP,0.5645110893424463
2020-07-19,HOL,R,-0.49994634720665676
2020-07-19,HOL,NEP,-0.11678242788246475
2020-07-19,HOL,GPP2,0.5645110893424463
2020-07-19,HOL,R2,-0.49994634720665676
2020-07-19,HOL,NEP2,0.06456474213578955
2020-07-20,HOL,GPP,-0.5008644781187326
2020-07-20,HOL,R,0.33215808660592294
2020-07-20,HOL,NEP,-0.04910139772263348
2020-07-20,HOL,GPP2,0.5008644781187326
2020-07-20,HOL,R2,-0.33215808660592294
2020-07-20,HOL,NEP2,0.16870639151280964
2020-08-06,HOL,GPP,0.30346599299206345
2020-08-06,HOL,R,-0.12347926219647505
2020-08-06,HOL,NEP,0.13288986399693797
2020-08-06,HOL,GPP2,0.30346599299206345
2020-08-06,HOL,R2,-0.12347926219647505
2020-08-06,HOL,NEP2,0.1799867307955884
2020-08-07,HOL,GPP,0.04610693596292308
2020-08-07,HOL,R,0.01082297672913389
2020-08-07,HOL,NEP,0.06156639247893498
2020-08-07,HOL,GPP2,0.04610693596292308
2020-08-07,HOL,R2,-0.01082297672913389
2020-08-07,HOL,NEP2,0.03528395923378919
2020-08-08,HOL,GPP,-0.5851813987411469
2020-08-08,HOL,R,0.565391490502783
2020-08-08,HOL,NEP,0.2014837530198004
2020-08-08,HOL,GPP2,0.5851813987411469
2020-08-08,HOL,R2,-0.565391490502783
2020-08-08,HOL,NEP2,0.019789908238363907
2020-08-09,HOL,GPP,0.5639031754473794
2020-08-09,HOL,R,-0.326254911593722
2020-08-09,HOL,NEP,0.11154597864110659
2020-08-09,HOL,GPP2,0.5639031754473794
2020-08-09,HOL,R2,-0.326254911593722
2020-08-09,HOL,NEP2,0.23764826385365745
2020-08-10,HOL,GPP,0.11180795721842551
2020-08-10,HOL,R,-0.013143217619897845
2020-08-10,HOL,NEP,0.09420770849981612
2020-08-10,HOL,GPP2,0.11180795721842551
2020-08-10,HOL,R2,-0.013143217619897845
2020-08-10,HOL,NEP2,0.09866473959852767
2020-08-11,HOL,GPP,0.04079168366762704
2020-08-11,HOL,R,-0.007220743845152521
2020-08-11,HOL,NEP,0.030877008331590804
2020-08-11,HOL,GPP2,0.04079168366762704
2020-08-11,HOL,R2,-0.007220743845152521
2020-08-11,HOL,NEP2,0.03357093982247452
2020-08-12,HOL,GPP,0.06642399252401937
2020-08-12,HOL,R,0.0644719331436423
2020-08-12,HOL,NEP,0.1579607371921296
2020-08-12,HOL,GPP2,0.06642399252401937
2020-08-12,HOL,R2,-0.0644719331436423
2020-08-12,HOL,NEP2,0.0019520593803770692
2020-08-13,HOL,GPP,-0.10439811659925066
2020-08-13,HOL,R,0.24253396776193975
2020-08-13,HOL,NEP,0.23747225662671143
2020-08-13,HOL,GPP2,0.10439811659925066
2020-08-13,HOL,R2,-0.24253396776193975
2020-08-13,HOL,NEP2,-0.1381358511626891
2020-08-14,HOL,GPP,0.1465421283868469
2020-08-14,HOL,R,-0.27816146583990625
2020-08-14,HOL,NEP,-0.24536048679688888
2020-08-14,HOL,GPP2,0.1465421283868469
2020-08-14,HOL,R2,-0.27816146583990625
2020-08-14,HOL,NEP2,-0.13161933745305934
2020-08-15,HOL,GPP,-0.44154234670223835
2020-08-15,HOL,R,0.5956759521233197
2020-08-15,HOL,NEP,0.3968142965299878
2020-08-15,HOL,GPP2,0.44154234670223835
2020-08-15,HOL,R2,-0.5956759521233197
2020-08-15,HOL,NEP2,-0.15413360542108134
2020-08-16,HOL,GPP,-0.2216688869137614
2020-08-16,HOL,R,0.11110468689863946
2020-08-16,HOL,NEP,-0.06627393679759769
2020-08-16,HOL,GPP2,0.2216688869137614
2020-08-16,HOL,R2,-0.11110468689863946
2020-08-16,HOL,NEP2,0.11056420001512195
2020-08-17,HOL,GPP,0.22238929105600017
2020-08-17,HOL,R,-0.3164885368777146
2020-08-17,HOL,NEP,-0.22312326249814213
2020-08-17,HOL,GPP2,0.22238929105600017
2020-08-17,HOL,R2,-0.3164885368777146
2020-08-17,HOL,NEP2,-0.09409924582171444
2020-08-18,HOL,GPP,0.23436985711616265
2020-08-18,HOL,R,-0.09402298943090512
2020-08-18,HOL,NEP,0.10187810895680263
2020-08-18,HOL,GPP2,0.23436985711616265
2020-08-18,HOL,R2,-0.09402298943090512
2020-08-18,HOL,NEP2,0.14034686768525753
2020-08-19,HOL,GPP,0.6563426038150122
2020-08-19,HOL,R,-0.3304776343060847
2020-08-19,HOL,NEP,0.18948180105538806
2020-08-19,HOL,GPP2,0.6563426038150122
2020-08-19,HOL,R2,-0.3304776343060847
2020-08-19,HOL,NEP2,0.3258649695089275
2020-08-20,HOL,GPP,-0.18184015344800225
2020-08-20,HOL,R,-0.006579763673683349
2020-08-20,HOL,NEP,-0.19249827892268342
2020-08-20,HOL,GPP2,0.18184015344800225
2020-08-20,HOL,R2,-0.006579763673683349
