"","datetime","wnd_10"
"119.2",2020-06-11 16:00:00,0.838601909084139
"119.3",2020-06-11 16:30:00,0.838601909084139
"119.4",2020-06-11 17:00:00,0.838601909084139
"119.5",2020-06-11 17:30:00,0.838601909084139
"122",2020-06-11 18:00:00,1.30041403502087
"122.1",2020-06-11 18:30:00,1.30041403502087
"122.2",2020-06-11 19:00:00,1.30041403502087
"122.3",2020-06-11 19:30:00,1.30041403502087
"122.4",2020-06-11 20:00:00,1.30041403502087
"122.5",2020-06-11 20:30:00,1.30041403502087
"125",2020-06-11 21:00:00,1.43254795245604
"125.1",2020-06-11 21:30:00,1.43254795245604
"125.2",2020-06-11 22:00:00,1.43254795245604
"125.3",2020-06-11 22:30:00,1.43254795245604
"125.4",2020-06-11 23:00:00,1.43254795245604
"125.5",2020-06-11 23:30:00,1.43254795245604
"128",2020-06-12 00:00:00,2.3975720790909
"128.1",2020-06-12 00:30:00,2.3975720790909
"128.2",2020-06-12 01:00:00,2.3975720790909
"128.3",2020-06-12 01:30:00,2.3975720790909
"128.4",2020-06-12 02:00:00,2.3975720790909
"128.5",2020-06-12 02:30:00,2.3975720790909
"131",2020-06-12 03:00:00,2.36884066087392
"131.1",2020-06-12 03:30:00,2.36884066087392
"131.2",2020-06-12 04:00:00,2.36884066087392
"131.3",2020-06-12 04:30:00,2.36884066087392
"131.4",2020-06-12 05:00:00,2.36884066087392
"131.5",2020-06-12 05:30:00,2.36884066087392
"134",2020-06-12 06:00:00,2.69713322940566
"134.1",2020-06-12 06:30:00,2.69713322940566
"134.2",2020-06-12 07:00:00,2.69713322940566
"134.3",2020-06-12 07:30:00,2.69713322940566
"134.4",2020-06-12 08:00:00,2.69713322940566
"134.5",2020-06-12 08:30:00,2.69713322940566
"137",2020-06-12 09:00:00,0.0397363116348481
"137.1",2020-06-12 09:30:00,0.0397363116348481
"137.2",2020-06-12 10:00:00,0.0397363116348481
"137.3",2020-06-12 10:30:00,0.0397363116348481
"137.4",2020-06-12 11:00:00,0.0397363116348481
"137.5",2020-06-12 11:30:00,0.0397363116348481
"140",2020-06-12 12:00:00,2.02124357234641
"140.1",2020-06-12 12:30:00,2.02124357234641
"140.2",2020-06-12 13:00:00,2.02124357234641
"140.3",2020-06-12 13:30:00,2.02124357234641
"140.4",2020-06-12 14:00:00,2.02124357234641
"140.5",2020-06-12 14:30:00,2.02124357234641
"143",2020-06-12 15:00:00,2.12887947838549
"143.1",2020-06-12 15:30:00,2.12887947838549
"143.2",2020-06-12 16:00:00,2.12887947838549
"143.3",2020-06-12 16:30:00,2.12887947838549
"143.4",2020-06-12 17:00:00,2.12887947838549
"143.5",2020-06-12 17:30:00,2.12887947838549
"146",2020-06-12 18:00:00,2.61198813407667
"146.1",2020-06-12 18:30:00,2.61198813407667
"146.2",2020-06-12 19:00:00,2.61198813407667
"146.3",2020-06-12 19:30:00,2.61198813407667
"146.4",2020-06-12 20:00:00,2.61198813407667
"146.5",2020-06-12 20:30:00,2.61198813407667
"149",2020-06-12 21:00:00,3.55899067186275
"149.1",2020-06-12 21:30:00,3.55899067186275
