datetime,lake,depth_m,temp_C
2020-07-28T09:30:00Z,MCD,10,11.041
2020-07-28T09:30:00Z,MCD,12,8.779
2020-07-28T09:30:00Z,MCD,2,18.426
2020-07-28T09:30:00Z,MCD,4,15.187
2020-07-28T09:30:00Z,MCD,6,13.846
2020-07-28T09:30:00Z,MCD,8,12.594
2020-07-28T09:30:00Z,MCD,1,17.928
2020-07-28T10:00:00Z,MCD,10,11.139
2020-07-28T10:00:00Z,MCD,12,8.581
2020-07-28T10:00:00Z,MCD,2,18.521
2020-07-28T10:00:00Z,MCD,4,15.282
2020-07-28T10:00:00Z,MCD,6,13.846
2020-07-28T10:00:00Z,MCD,8,12.787
2020-07-28T10:00:00Z,MCD,1,17.953
2020-07-28T10:30:00Z,MCD,10,11.236
2020-07-28T10:30:00Z,MCD,12,8.581
2020-07-28T10:30:00Z,MCD,2,18.616
2020-07-28T10:30:00Z,MCD,4,14.996
2020-07-28T10:30:00Z,MCD,6,13.75
2020-07-28T10:30:00Z,MCD,8,12.883
2020-07-28T10:30:00Z,MCD,1,17.97
2020-07-28T11:00:00Z,MCD,10,11.139
2020-07-28T11:00:00Z,MCD,12,8.581
2020-07-28T11:00:00Z,MCD,2,18.806
2020-07-28T11:00:00Z,MCD,4,15.091
2020-07-28T11:00:00Z,MCD,6,13.846
2020-07-28T11:00:00Z,MCD,8,12.787
2020-07-28T11:00:00Z,MCD,1,18.037
2020-07-28T11:30:00Z,MCD,10,11.139
2020-07-28T11:30:00Z,MCD,12,8.481
2020-07-28T11:30:00Z,MCD,2,18.996
2020-07-28T11:30:00Z,MCD,4,14.996
2020-07-28T11:30:00Z,MCD,6,13.75
2020-07-28T11:30:00Z,MCD,8,12.98
2020-07-28T11:30:00Z,MCD,1,18.088
2020-07-28T12:00:00Z,MCD,10,11.139
2020-07-28T12:00:00Z,MCD,12,8.481
2020-07-28T12:00:00Z,MCD,2,18.711
2020-07-28T12:00:00Z,MCD,4,14.9
2020-07-28T12:00:00Z,MCD,6,13.846
2020-07-28T12:00:00Z,MCD,8,13.076
2020-07-28T12:00:00Z,MCD,1,18.104
2020-07-28T12:30:00Z,MCD,10,10.748
2020-07-28T12:30:00Z,MCD,12,8.481
