time,latitude,longitude,vgrd10m,ugrd10m
2020-06-15T18:00:00Z,47.5,246,2.7068236,2.908308
2020-06-15T18:00:00Z,48,246,2.2368238,1.6083081
2020-06-15T21:00:00Z,47,246,-0.007111816,1.485647
2020-06-15T21:00:00Z,47.5,246,2.602888,2.505647
2020-06-15T21:00:00Z,48,246,2.9928882,1.855647
2020-06-16T00:00:00Z,47,246,-1.6202929,1.520271
2020-06-16T00:00:00Z,47.5,246,0.94970703,0.33027098
2020-06-16T00:00:00Z,48,246,3.289707,1.220271
2020-06-16T03:00:00Z,47,246,-0.39130613,0.7104321
2020-06-16T03:00:00Z,47.5,246,0.72869384,-0.50956786
2020-06-16T03:00:00Z,48,246,3.1086938,0.69043213
2020-06-16T06:00:00Z,47,246,1.51E-04,0.5451587
2020-06-16T06:00:00Z,47.5,246,1.0801513,-0.2348413
2020-06-16T06:00:00Z,48,246,1.6601514,1.0351586
2020-06-16T09:00:00Z,47,246,-0.05340576,0.18436034
2020-06-16T09:00:00Z,47.5,246,0.036594238,0.11436035
2020-06-16T09:00:00Z,48,246,1.8765942,0.16436034
2020-06-16T12:00:00Z,47,246,-0.18733399,0.22197022
2020-06-16T12:00:00Z,47.5,246,0.342666,-0.36802977
2020-06-16T12:00:00Z,48,246,0.11266601,0.29197022
2020-06-16T15:00:00Z,47,246,0.8542114,1.3008667
2020-06-16T15:00:00Z,47.5,246,-0.36578858,1.1308666
2020-06-16T15:00:00Z,48,246,-0.13578857,0.5608667
2020-06-16T18:00:00Z,47,246,-1.2327343,1.7416992
2020-06-16T18:00:00Z,47.5,246,-0.65273434,1.7216992
2020-06-16T18:00:00Z,48,246,0.18726562,1.3416992
2020-06-16T21:00:00Z,47,246,-1.7934717,2.4659424
2020-06-16T21:00:00Z,47.5,246,-0.88347167,3.0759423
2020-06-16T21:00:00Z,48,246,0.2965283,3.2159424
2020-06-17T00:00:00Z,47,246,-2.881338,2.0751343
2020-06-17T00:00:00Z,47.5,246,-1.0113379,2.1751342
2020-06-17T00:00:00Z,48,246,-0.8713379,2.1451342
2020-06-17T03:00:00Z,47,246,-1.8896166,0.9029907
2020-06-17T03:00:00Z,47.5,246,-0.2496167,0.6529907
2020-06-17T03:00:00Z,48,246,-0.1096167,0.22299072
2020-06-17T06:00:00Z,47,246,-0.1185498,0.004313965
2020-06-17T06:00:00Z,47.5,246,0.3614502,-1.085686
2020-06-17T06:00:00Z,48,246,-1.1185498,-0.39568603
2020-06-17T09:00:00Z,47,246,-0.91668457,1.6004052
2020-06-17T09:00:00Z,47.5,246,0.34331542,0.76040524
2020-06-17T09:00:00Z,48,246,-0.9566845,-0.14959472
2020-06-17T12:00:00Z,47,246,-1.7539794,0.54979
2020-06-17T12:00:00Z,47.5,246,-1.6539794,-0.42020994
2020-06-17T12:00:00Z,48,246,-1.2939794,-0.80020994
2020-06-17T15:00:00Z,47,246,-1.3691235,1.3006177
2020-06-17T15:00:00Z,47.5,246,-1.6591235,1.1406176
2020-06-17T15:00:00Z,48,246,-1.7191235,0.93061763
