"","datetime","wnd_10"
"155.5",2020-06-13 05:30:00,1.41639776577895
"158",2020-06-13 06:00:00,0.897970775940127
"158.1",2020-06-13 06:30:00,0.897970775940127
"158.2",2020-06-13 07:00:00,0.897970775940127
"158.3",2020-06-13 07:30:00,0.897970775940127
"158.4",2020-06-13 08:00:00,0.897970775940127
"158.5",2020-06-13 08:30:00,0.897970775940127
"161",2020-06-13 09:00:00,2.18643154866943
"161.1",2020-06-13 09:30:00,2.18643154866943
"161.2",2020-06-13 10:00:00,2.18643154866943
"161.3",2020-06-13 10:30:00,2.18643154866943
"161.4",2020-06-13 11:00:00,2.18643154866943
"161.5",2020-06-13 11:30:00,2.18643154866943
"164",2020-06-13 12:00:00,6.59953100083369
"164.1",2020-06-13 12:30:00,6.59953100083369
"164.2",2020-06-13 13:00:00,6.59953100083369
"164.3",2020-06-13 13:30:00,6.59953100083369
"164.4",2020-06-13 14:00:00,6.59953100083369
"164.5",2020-06-13 14:30:00,6.59953100083369
"167",2020-06-13 15:00:00,4.88850640973071
"167.1",2020-06-13 15:30:00,4.88850640973071
"167.2",2020-06-13 16:00:00,4.88850640973071
"167.3",2020-06-13 16:30:00,4.88850640973071
"167.4",2020-06-13 17:00:00,4.88850640973071
"167.5",2020-06-13 17:30:00,4.88850640973071
"170",2020-06-13 18:00:00,7.14474126739835
"170.1",2020-06-13 18:30:00,7.14474126739835
"170.2",2020-06-13 19:00:00,7.14474126739835
"170.3",2020-06-13 19:30:00,7.14474126739835
"170.4",2020-06-13 20:00:00,7.14474126739835
"170.5",2020-06-13 20:30:00,7.14474126739835
"173",2020-06-13 21:00:00,3.5843498565957
"173.1",2020-06-13 21:30:00,3.5843498565957
"173.2",2020-06-13 22:00:00,3.5843498565957
"173.3",2020-06-13 22:30:00,3.5843498565957
"173.4",2020-06-13 23:00:00,3.5843498565957
"173.5",2020-06-13 23:30:00,3.5843498565957
"176",2020-06-14 00:00:00,2.21096555446512
"176.1",2020-06-14 00:30:00,2.21096555446512
"176.2",2020-06-14 01:00:00,2.21096555446512
"176.3",2020-06-14 01:30:00,2.21096555446512
"176.4",2020-06-14 02:00:00,2.21096555446512
"176.5",2020-06-14 02:30:00,2.21096555446512
"179",2020-06-14 03:00:00,1.62109021505122
"179.1",2020-06-14 03:30:00,1.62109021505122
"179.2",2020-06-14 04:00:00,1.62109021505122
"179.3",2020-06-14 04:30:00,1.62109021505122
"179.4",2020-06-14 05:00:00,1.62109021505122
"179.5",2020-06-14 05:30:00,1.62109021505122
"182",2020-06-14 06:00:00,1.28715870282635
"182.1",2020-06-14 06:30:00,1.28715870282635
"182.2",2020-06-14 07:00:00,1.28715870282635
"182.3",2020-06-14 07:30:00,1.28715870282635
"182.4",2020-06-14 08:00:00,1.28715870282635
"182.5",2020-06-14 08:30:00,1.28715870282635
"185",2020-06-14 09:00:00,2.83759611302986
"185.1",2020-06-14 09:30:00,2.83759611302986
"185.2",2020-06-14 10:00:00,2.83759611302986
"185.3",2020-06-14 10:30:00,2.83759611302986
"185.4",2020-06-14 11:00:00,2.83759611302986
"185.5",2020-06-14 11:30:00,2.83759611302986
"188",2020-06-14 12:00:00,3.30519598644618
"188.1",2020-06-14 12:30:00,3.30519598644618
"188.2",2020-06-14 13:00:00,3.30519598644618
"188.3",2020-06-14 13:30:00,3.30519598644618
"188.4",2020-06-14 14:00:00,3.30519598644618
"188.5",2020-06-14 14:30:00,3.30519598644618
"191",2020-06-14 15:00:00,3.19832260942867
"191.1",2020-06-14 15:30:00,3.19832260942867
"191.2",2020-06-14 16:00:00,3.19832260942867
"191.3",2020-06-14 16:30:00,3.19832260942867
"191.4",2020-06-14 17:00:00,3.19832260942867
"191.5",2020-06-14 17:30:00,3.19832260942867
"194",2020-06-14 18:00:00,2.44436286736137
"194.1",2020-06-14 18:30:00,2.44436286736137
"194.2",2020-06-14 19:00:00,2.44436286736137
"194.3",2020-06-14 19:30:00,2.44436286736137
"194.4",2020-06-14 20:00:00,2.44436286736137
"194.5",2020-06-14 20:30:00,2.44436286736137
"197",2020-06-14 21:00:00,2.36745859657972
"197.1",2020-06-14 21:30:00,2.36745859657972
"197.2",2020-06-14 22:00:00,2.36745859657972
"197.3",2020-06-14 22:30:00,2.36745859657972
"197.4",2020-06-14 23:00:00,2.36745859657972
"197.5",2020-06-14 23:30:00,2.36745859657972
"200",2020-06-15 00:00:00,2.43928752025239
"200.1",2020-06-15 00:30:00,2.43928752025239
"200.2",2020-06-15 01:00:00,2.43928752025239
"200.3",2020-06-15 01:30:00,2.43928752025239
"200.4",2020-06-15 02:00:00,2.43928752025239
"200.5",2020-06-15 02:30:00,2.43928752025239
"203",2020-06-15 03:00:00,2.61477893608267
"203.1",2020-06-15 03:30:00,2.61477893608267
"203.2",2020-06-15 04:00:00,2.61477893608267
"203.3",2020-06-15 04:30:00,2.61477893608267
"203.4",2020-06-15 05:00:00,2.61477893608267
"203.5",2020-06-15 05:30:00,2.61477893608267
"206",2020-06-15 06:00:00,2.329808812071
"206.1",2020-06-15 06:30:00,2.329808812071
"206.2",2020-06-15 07:00:00,2.329808812071
"206.3",2020-06-15 07:30:00,2.329808812071
"206.4",2020-06-15 08:00:00,2.329808812071
"206.5",2020-06-15 08:30:00,2.329808812071
"209",2020-06-15 09:00:00,2.92945321380684
"209.1",2020-06-15 09:30:00,2.92945321380684
"209.2",2020-06-15 10:00:00,2.92945321380684
"209.3",2020-06-15 10:30:00,2.92945321380684
"209.4",2020-06-15 11:00:00,2.92945321380684
"209.5",2020-06-15 11:30:00,2.92945321380684
"212",2020-06-15 12:00:00,3.42284710517535
"212.1",2020-06-15 12:30:00,3.42284710517535
"212.2",2020-06-15 13:00:00,3.42284710517535
"212.3",2020-06-15 13:30:00,3.42284710517535
"212.4",2020-06-15 14:00:00,3.42284710517535
"212.5",2020-06-15 14:30:00,3.42284710517535
"215",2020-06-15 15:00:00,4.25633858005322
"215.1",2020-06-15 15:30:00,4.25633858005322
"215.2",2020-06-15 16:00:00,4.25633858005322
"215.3",2020-06-15 16:30:00,4.25633858005322
"215.4",2020-06-15 17:00:00,4.25633858005322
"215.5",2020-06-15 17:30:00,4.25633858005322
"218",2020-06-15 18:00:00,2.1301440538754
"218.1",2020-06-15 18:30:00,2.1301440538754
"218.2",2020-06-15 19:00:00,2.1301440538754
"218.3",2020-06-15 19:30:00,2.1301440538754
"218.4",2020-06-15 20:00:00,2.1301440538754
"218.5",2020-06-15 20:30:00,2.1301440538754
"221",2020-06-15 21:00:00,1.84164146693601
"221.1",2020-06-15 21:30:00,1.84164146693601
"221.2",2020-06-15 22:00:00,1.84164146693601
"221.3",2020-06-15 22:30:00,1.84164146693601
"221.4",2020-06-15 23:00:00,1.84164146693601
"221.5",2020-06-15 23:30:00,1.84164146693601
"224",2020-06-16 00:00:00,1.23416104543772
"224.1",2020-06-16 00:30:00,1.23416104543772
"224.2",2020-06-16 01:00:00,1.23416104543772
"224.3",2020-06-16 01:30:00,1.23416104543772
"224.4",2020-06-16 02:00:00,1.23416104543772
"224.5",2020-06-16 02:30:00,1.23416104543772
"227",2020-06-16 03:00:00,0.980280800806515
"227.1",2020-06-16 03:30:00,0.980280800806515
"227.2",2020-06-16 04:00:00,0.980280800806515
"227.3",2020-06-16 04:30:00,0.980280800806515
"227.4",2020-06-16 05:00:00,0.980280800806515
"227.5",2020-06-16 05:30:00,0.980280800806515
"230",2020-06-16 06:00:00,0.692009064253751
"230.1",2020-06-16 06:30:00,0.692009064253751
"230.2",2020-06-16 07:00:00,0.692009064253751
"230.3",2020-06-16 07:30:00,0.692009064253751
"230.4",2020-06-16 08:00:00,0.692009064253751
